Date,Open,High,Low,Close,Adj Close,Volume
2021-12-30,32.290001,33.299999,32.290001,32.619999,32.619999,256500
2021-12-31,32.580002,33.264999,32.580002,33.209999,33.209999,215000
2022-01-03,33.259998,33.630001,32.689999,33.169998,33.169998,556800
2022-01-04,33.119999,33.529999,32.490002,32.509998,32.509998,260700
2022-01-05,32.330002,32.490002,31.490000,31.570000,31.570000,287800
2022-01-06,31.340000,31.700001,31.190001,31.469999,31.469999,232000
2022-01-07,31.389999,31.889999,31.059999,31.070000,31.070000,394500
2022-01-10,30.850000,30.930000,29.840000,30.350000,30.350000,879100
2022-01-11,30.389999,30.730000,29.969999,30.420000,30.420000,323400
2022-01-12,30.379999,30.610001,30.040001,30.540001,30.540001,349100
2022-01-13,30.700001,31.170000,30.110001,30.160000,30.160000,321800
2022-01-14,29.780001,30.030001,29.270000,29.700001,29.700001,295700
2022-01-18,29.270000,29.315001,28.010000,28.100000,28.100000,568300
2022-01-19,28.110001,28.370001,27.559999,27.570000,27.570000,267800
2022-01-20,27.730000,28.370001,27.270000,27.330000,27.330000,337900
2022-01-21,27.340000,27.665001,26.920000,27.090000,27.090000,422000
2022-01-24,26.580000,28.040001,26.145000,27.959999,27.959999,667100
2022-01-25,27.170000,27.990000,26.700001,27.660000,27.660000,752400
2022-01-26,27.950001,28.559999,27.180000,27.420000,27.420000,716400
2022-01-27,27.690001,28.195000,27.370001,27.629999,27.629999,452700
2022-01-28,27.600000,28.139999,27.040001,28.110001,28.110001,424400
2022-01-31,28.049999,29.580000,28.000000,29.559999,29.559999,516800
2022-02-01,29.440001,29.950001,28.860001,29.780001,29.780001,598100
2022-02-02,29.959999,30.340000,29.180000,29.570000,29.570000,740300
2022-02-03,29.950001,30.650000,28.020000,28.520000,28.520000,1525700
2022-02-04,28.559999,29.020000,28.430000,28.540001,28.540001,1013600
2022-02-07,28.610001,28.629999,28.090000,28.190001,28.190001,414700
2022-02-08,28.240000,28.570000,28.004999,28.410000,28.410000,442000
2022-02-09,28.620001,29.090000,28.490000,28.820000,28.820000,614700
2022-02-10,28.190001,29.000000,27.660000,27.840000,27.840000,550300
2022-02-11,27.990000,28.059999,26.900000,27.059999,27.059999,498200
2022-02-14,26.969999,27.230000,26.590000,26.930000,26.930000,413000
2022-02-15,27.360001,27.770000,27.320000,27.330000,27.330000,397800
2022-02-16,27.330000,27.670000,26.879999,27.510000,27.510000,330500
2022-02-17,27.200001,27.459999,26.549999,26.620001,26.620001,402100
2022-02-18,26.600000,27.115000,26.370001,26.639999,26.639999,364000
2022-02-22,26.430000,26.709999,25.910000,26.230000,26.230000,498700
2022-02-23,26.559999,26.770000,25.790001,25.799999,25.799999,307900
2022-02-24,25.030001,26.010000,24.879999,25.959999,25.959999,582900
2022-02-25,26.030001,26.590000,25.790001,26.590000,26.590000,373600
2022-02-28,26.270000,26.559999,26.115000,26.430000,26.430000,332800
2022-03-01,26.209999,26.209999,25.459999,25.820000,25.820000,551300
2022-03-02,25.980000,26.469999,25.879999,26.200001,26.200001,411900
2022-03-03,25.459999,26.100000,25.280001,25.809999,25.809999,656100
2022-03-04,25.520000,25.590000,24.930000,25.120001,25.120001,420800
2022-03-07,25.110001,25.129999,23.040001,23.049999,23.049999,633900
2022-03-08,22.930000,23.375000,22.215000,22.790001,22.790001,882800
2022-03-09,23.459999,25.000000,23.459999,24.680000,24.680000,533100
2022-03-10,23.889999,24.070000,23.270000,23.700001,23.700001,482000
2022-03-11,24.000000,24.100000,23.530001,23.620001,23.620001,519300
2022-03-14,23.830000,23.940001,23.049999,23.190001,23.190001,528200
2022-03-15,23.510000,23.950001,23.350000,23.930000,23.930000,373200
2022-03-16,24.250000,25.080000,24.250000,25.059999,25.059999,381900
2022-03-17,24.799999,25.430000,24.799999,25.230000,25.230000,310900
2022-03-18,25.160000,26.000000,24.950001,25.920000,25.920000,471500
2022-03-21,25.799999,25.889999,25.049999,25.360001,25.360001,306300
2022-03-22,25.540001,26.030001,25.410000,25.959999,25.959999,285200
2022-03-23,25.570000,25.730000,25.170000,25.309999,25.309999,334000
2022-03-24,25.370001,25.559999,25.160000,25.549999,25.549999,194800
2022-03-25,25.629999,25.830000,25.150000,25.340000,25.340000,248200
2022-03-28,25.450001,25.450001,24.660000,25.250000,25.250000,490000
2022-03-29,26.059999,26.540001,25.559999,26.459999,26.459999,357100
2022-03-30,26.049999,26.360001,25.754999,25.809999,25.809999,281400
2022-03-31,25.650000,25.930000,25.430000,25.830000,25.830000,608500
2022-04-01,26.129999,26.309999,25.719999,26.299999,26.299999,515200
2022-04-04,26.340000,26.590000,25.940001,26.309999,26.309999,294500
2022-04-05,26.110001,26.570000,25.990000,26.100000,26.100000,296300
2022-04-06,25.879999,26.049999,25.510000,25.910000,25.910000,396300
2022-04-07,26.020000,26.180000,25.280001,25.760000,25.760000,418500
2022-04-08,25.670000,26.240000,25.250000,25.889999,25.889999,340600
2022-04-11,25.760000,26.219999,25.570000,25.700001,25.700001,275200
2022-04-12,26.070000,26.660000,25.389999,25.530001,25.530001,318300
2022-04-13,25.420000,26.049999,25.420000,25.870001,25.870001,245100
2022-04-14,25.959999,26.400000,25.580000,25.600000,25.600000,246200
2022-04-18,25.600000,25.770000,25.100000,25.260000,25.260000,212600
2022-04-19,24.930000,25.900000,24.799999,25.709999,25.709999,243200
